,AudioFileName,Speaker,StartTS,EndTS,Language
0,diarization_sample_0479.wav,Speaker_03,0.000,0.833,pa
1,diarization_sample_0479.wav,Speaker_01,0.243,6.487,en
2,diarization_sample_0479.wav,Speaker_00,6.891,9.326,en
3,diarization_sample_0479.wav,Speaker_03,9.724,18.717,pa
4,diarization_sample_0479.wav,Speaker_00,19.837,25.517,en
5,diarization_sample_0479.wav,Speaker_03,26.068,30.766,pa
6,diarization_sample_0479.wav,Speaker_00,31.357,37.037,en
7,diarization_sample_0479.wav,Speaker_02,38.495,43.359,hi
8,diarization_sample_0479.wav,Speaker_00,43.958,46.393,en
9,diarization_sample_0479.wav,Speaker_00,46.796,52.476,en
10,diarization_sample_0479.wav,Speaker_00,53.418,59.098,en
11,diarization_sample_0479.wav,Speaker_03,57.104,69.744,pa
12,diarization_sample_0479.wav,Speaker_00,70.433,76.113,en
13,diarization_sample_0479.wav,Speaker_03,76.598,77.431,pa
14,diarization_sample_0479.wav,Speaker_00,77.995,83.675,en
15,diarization_sample_0479.wav,Speaker_03,85.080,89.174,pa
16,diarization_sample_0479.wav,Speaker_03,89.619,93.713,pa
17,diarization_sample_0479.wav,Speaker_00,95.016,100.696,en
18,diarization_sample_0479.wav,Speaker_02,101.003,104.043,hi
19,diarization_sample_0479.wav,Speaker_00,105.114,108.514,en
20,diarization_sample_0479.wav,Speaker_00,109.329,112.729,en
21,diarization_sample_0479.wav,Speaker_03,114.190,126.583,pa
22,diarization_sample_0479.wav,Speaker_00,127.792,130.227,en
23,diarization_sample_0479.wav,Speaker_00,131.659,135.059,en
24,diarization_sample_0479.wav,Speaker_03,136.357,137.190,pa
25,diarization_sample_0479.wav,Speaker_00,138.608,144.288,en
26,diarization_sample_0479.wav,Speaker_03,145.203,161.491,pa
27,diarization_sample_0479.wav,Speaker_03,162.271,178.559,pa
28,diarization_sample_0479.wav,Speaker_03,179.117,183.815,pa
29,diarization_sample_0479.wav,Speaker_00,184.840,188.240,en
30,diarization_sample_0479.wav,Speaker_00,188.880,192.280,en
31,diarization_sample_0479.wav,Speaker_03,193.339,202.415,pa
32,diarization_sample_0479.wav,Speaker_00,201.449,203.883,en
33,diarization_sample_0479.wav,Speaker_03,205.270,214.263,pa
34,diarization_sample_0479.wav,Speaker_00,215.582,221.262,en
35,diarization_sample_0479.wav,Speaker_02,222.602,234.570,hi
