,AudioFileName,Speaker,StartTS,EndTS,Language
0,diarization_sample_0025.wav,Speaker_01,0.000,1.033,hi
1,diarization_sample_0025.wav,Speaker_00,2.363,4.116,en
2,diarization_sample_0025.wav,Speaker_01,5.357,6.390,hi
3,diarization_sample_0025.wav,Speaker_00,7.601,9.601,en
4,diarization_sample_0025.wav,Speaker_02,10.785,17.474,pa
5,diarization_sample_0025.wav,Speaker_00,17.214,17.734,en
6,diarization_sample_0025.wav,Speaker_02,18.589,26.141,pa
7,diarization_sample_0025.wav,Speaker_00,27.192,29.192,en
8,diarization_sample_0025.wav,Speaker_00,29.948,31.701,en
9,diarization_sample_0025.wav,Speaker_00,32.455,32.975,en
10,diarization_sample_0025.wav,Speaker_02,33.667,41.508,pa
11,diarization_sample_0025.wav,Speaker_01,42.779,43.812,hi
