,AudioFileName,Speaker,StartTS,EndTS,Language
0,diarization_sample_0057.wav,Speaker_01,0.000,7.466,en
1,diarization_sample_0057.wav,Speaker_00,8.404,8.787,en
2,diarization_sample_0057.wav,Speaker_00,9.471,9.879,en
3,diarization_sample_0057.wav,Speaker_00,10.715,11.123,en
4,diarization_sample_0057.wav,Speaker_01,12.271,12.951,en
5,diarization_sample_0057.wav,Speaker_01,14.057,21.523,en
6,diarization_sample_0057.wav,Speaker_01,22.474,29.940,en
7,diarization_sample_0057.wav,Speaker_01,31.422,32.102,en
8,diarization_sample_0057.wav,Speaker_00,32.712,33.095,en
9,diarization_sample_0057.wav,Speaker_01,34.026,36.968,en
