,AudioFileName,Speaker,StartTS,EndTS,Language
0,diarization_sample_0495.wav,Speaker_00,0.000,0.577,en
1,diarization_sample_0495.wav,Speaker_04,0.898,1.731,pa
2,diarization_sample_0495.wav,Speaker_02,2.333,5.662,hi
3,diarization_sample_0495.wav,Speaker_02,6.683,17.400,hi
4,diarization_sample_0495.wav,Speaker_02,18.119,20.539,hi
5,diarization_sample_0495.wav,Speaker_02,21.898,24.109,hi
6,diarization_sample_0495.wav,Speaker_02,23.514,29.881,hi
7,diarization_sample_0495.wav,Speaker_04,24.429,25.262,pa
8,diarization_sample_0495.wav,Speaker_03,31.371,32.308,hi
9,diarization_sample_0495.wav,Speaker_04,32.613,33.446,pa
10,diarization_sample_0495.wav,Speaker_04,34.280,35.113,pa
11,diarization_sample_0495.wav,Speaker_02,35.493,54.385,hi
12,diarization_sample_0495.wav,Speaker_03,53.916,54.853,hi
13,diarization_sample_0495.wav,Speaker_00,56.310,61.350,en
14,diarization_sample_0495.wav,Speaker_02,60.755,65.152,hi
15,diarization_sample_0495.wav,Speaker_03,66.410,67.347,hi
16,diarization_sample_0495.wav,Speaker_03,67.735,68.672,hi
17,diarization_sample_0495.wav,Speaker_03,69.867,70.804,hi
18,diarization_sample_0495.wav,Speaker_04,71.545,72.378,pa
19,diarization_sample_0495.wav,Speaker_00,73.108,78.148,en
20,diarization_sample_0495.wav,Speaker_02,79.551,85.918,hi
21,diarization_sample_0495.wav,Speaker_04,86.873,87.706,pa
22,diarization_sample_0495.wav,Speaker_04,89.111,89.944,pa
23,diarization_sample_0495.wav,Speaker_03,91.180,92.117,hi
24,diarization_sample_0495.wav,Speaker_04,91.701,92.534,pa
25,diarization_sample_0495.wav,Speaker_00,93.867,98.907,en
26,diarization_sample_0495.wav,Speaker_03,99.978,100.915,hi
27,diarization_sample_0495.wav,Speaker_04,101.585,102.418,pa
28,diarization_sample_0495.wav,Speaker_02,103.117,109.484,hi
29,diarization_sample_0495.wav,Speaker_03,110.446,111.383,hi
30,diarization_sample_0495.wav,Speaker_03,112.832,113.769,hi
31,diarization_sample_0495.wav,Speaker_04,114.554,115.387,pa
32,diarization_sample_0495.wav,Speaker_03,114.918,115.855,hi
33,diarization_sample_0495.wav,Speaker_04,115.439,116.272,pa
34,diarization_sample_0495.wav,Speaker_04,117.332,118.165,pa
35,diarization_sample_0495.wav,Speaker_03,119.328,120.265,hi
36,diarization_sample_0495.wav,Speaker_04,119.848,120.681,pa
37,diarization_sample_0495.wav,Speaker_03,121.602,122.539,hi
38,diarization_sample_0495.wav,Speaker_04,123.854,124.687,pa
39,diarization_sample_0495.wav,Speaker_03,125.956,126.893,hi
40,diarization_sample_0495.wav,Speaker_01,128.061,128.393,en
41,diarization_sample_0495.wav,Speaker_04,129.475,130.308,pa
42,diarization_sample_0495.wav,Speaker_03,131.341,132.278,hi
43,diarization_sample_0495.wav,Speaker_04,133.042,133.875,pa
44,diarization_sample_0495.wav,Speaker_01,134.680,135.979,en
45,diarization_sample_0495.wav,Speaker_03,137.412,138.349,hi
46,diarization_sample_0495.wav,Speaker_02,138.650,139.569,hi
47,diarization_sample_0495.wav,Speaker_04,140.407,141.240,pa
48,diarization_sample_0495.wav,Speaker_04,142.663,143.496,pa
49,diarization_sample_0495.wav,Speaker_03,144.595,145.532,hi
50,diarization_sample_0495.wav,Speaker_01,146.010,149.291,en
51,diarization_sample_0495.wav,Speaker_04,150.784,151.617,pa
52,diarization_sample_0495.wav,Speaker_03,152.664,153.601,hi
53,diarization_sample_0495.wav,Speaker_00,154.622,155.199,en
54,diarization_sample_0495.wav,Speaker_02,156.695,163.362,hi
